Time,Tick,J0,J1,J2,J3,AvgWait,Phase,Mode
2026-04-07T18:59:05,1,10.66,25.96,22.96,22.02,20.4,NS-Green,rl
2026-04-07T18:59:05,2,14.92,33.84,30.34,31.95,27.76,NS-Green,rl
2026-04-07T18:59:05,3,17.6,37.95,35.35,36.25,31.79,NS-Green,rl
2026-04-07T18:59:05,4,19.24,40.44,39.67,35.79,33.78,NS-Green,rl
2026-04-07T18:59:05,5,18.91,41.19,38.44,37.25,33.95,NS-Green,rl
2026-04-07T18:59:05,6,19.31,40.48,37.58,36.97,33.58,NS-Green,rl
2026-04-07T18:59:05,7,45.28,45.75,42.76,45.02,44.7,NS-Green,rl
2026-04-07T18:59:05,8,43.04,47.39,45.48,47.89,45.95,NS-Green,rl
2026-04-07T18:59:05,9,41.95,47.52,45.23,46.44,45.28,NS-Green,rl
2026-04-07T18:59:05,10,40.63,46.5,45.84,44.86,44.46,NS-Green,rl
2026-04-07T18:59:05,11,38.48,47.72,47.91,46.77,45.22,NS-Green,rl
2026-04-07T18:59:05,12,41.6,50.87,46.2,41.02,44.92,NS-Green,rl
2026-04-07T18:59:05,13,41.95,48.45,47.78,42.18,45.09,NS-Green,rl
2026-04-07T18:59:05,14,43.82,47.37,46.39,41.84,44.86,NS-Green,rl
2026-04-07T18:59:05,15,42.19,46.98,43.87,43.46,44.12,NS-Green,rl
2026-04-07T18:59:05,16,42.21,46.09,46.35,44.92,44.89,NS-Green,rl
2026-04-07T18:59:05,17,43.36,45.98,46.87,43.64,44.97,NS-Green,rl
2026-04-07T18:59:05,18,42.62,46.12,46.0,43.69,44.61,NS-Green,rl
2026-04-07T18:59:05,19,43.7,47.26,45.61,42.88,44.86,NS-Green,rl
2026-04-07T18:59:05,20,41.53,44.69,44.39,42.37,43.24,NS-Green,rl
2026-04-07T18:59:05,21,41.02,44.97,44.33,45.03,43.84,NS-Green,rl
2026-04-07T18:59:05,22,41.51,45.22,48.51,44.01,44.81,NS-Green,rl
2026-04-07T18:59:05,23,40.08,44.47,44.59,44.22,43.34,NS-Green,rl
2026-04-07T18:59:05,24,40.48,45.77,43.49,42.35,43.02,NS-Green,rl
