Time,Tick,Junction,Mode,Phase,WaitingTime_s,NorthWait_s,SouthWait_s,EastWait_s,WestWait_s,QueueLength,VehicleCount,IsCorridor
2026-04-07T18:59:05,1,J0_0,rl,NS-Green,11.85,19.46,18.36,18.02,17.84,35.04,49,True
2026-04-07T18:59:05,1,J0_1,rl,NS-Green,9.8,16.08,15.17,14.97,14.68,28.15,39,True
2026-04-07T18:59:05,1,J0_2,rl,NS-Green,11.63,19.09,18.01,17.87,17.35,30.58,42,True
2026-04-07T18:59:05,1,J0_3,rl,NS-Green,9.34,15.33,14.46,14.42,13.87,24.39,33,True
2026-04-07T18:59:05,1,J1_0,rl,NS-Green,33.24,33.58,32.11,31.33,31.02,38.23,53,False
2026-04-07T18:59:05,1,J1_1,rl,NS-Green,28.44,28.72,27.47,26.94,26.42,36.41,50,False
2026-04-07T18:59:05,1,J1_2,rl,NS-Green,30.41,30.71,29.38,28.97,28.13,40.21,56,False
2026-04-07T18:59:05,1,J1_3,rl,NS-Green,11.75,19.14,18.31,18.15,17.46,35.15,48,True
2026-04-07T18:59:05,1,J2_0,rl,NS-Green,32.23,32.31,31.33,30.38,30.07,42.63,59,False
2026-04-07T18:59:05,1,J2_1,rl,NS-Green,22.55,22.61,21.92,21.37,20.95,23.68,32,False
2026-04-07T18:59:05,1,J2_2,rl,NS-Green,25.14,25.2,24.44,23.95,23.25,29.95,41,False
2026-04-07T18:59:05,1,J2_3,rl,NS-Green,11.92,19.28,18.69,18.41,17.71,41.25,57,True
2026-04-07T18:59:05,1,J3_0,rl,NS-Green,24.73,24.6,24.18,23.3,23.07,32.2,45,False
2026-04-07T18:59:05,1,J3_1,rl,NS-Green,27.28,27.14,26.68,25.85,25.34,33.46,46,False
2026-04-07T18:59:05,1,J3_2,rl,NS-Green,26.21,26.07,25.63,24.96,24.24,32.19,44,False
2026-04-07T18:59:05,1,J3_3,rl,NS-Green,9.85,15.81,15.54,15.21,14.63,29.36,41,True
2026-04-07T18:59:05,2,J0_0,rl,NS-Green,16.0,26.25,24.77,24.31,24.07,44.86,56,True
2026-04-07T18:59:05,2,J0_1,rl,NS-Green,14.94,24.52,23.13,22.83,22.38,43.09,55,True
2026-04-07T18:59:05,2,J0_2,rl,NS-Green,13.77,22.6,21.32,21.15,20.54,40.91,51,True
2026-04-07T18:59:05,2,J0_3,rl,NS-Green,14.98,24.58,23.19,23.13,22.25,40.34,52,True
2026-04-07T18:59:05,2,J1_0,rl,NS-Green,43.25,43.68,41.78,40.76,40.35,55.82,71,False
2026-04-07T18:59:05,2,J1_1,rl,NS-Green,35.63,35.99,34.42,33.76,33.1,44.7,56,False
2026-04-07T18:59:05,2,J1_2,rl,NS-Green,40.66,41.07,39.28,38.73,37.61,51.72,65,False
2026-04-07T18:59:05,2,J1_3,rl,NS-Green,15.83,25.78,24.66,24.44,23.51,42.37,53,True
2026-04-07T18:59:05,2,J2_0,rl,NS-Green,38.55,38.65,37.47,36.34,35.97,50.39,62,False
2026-04-07T18:59:05,2,J2_1,rl,NS-Green,34.63,34.71,33.66,32.81,32.17,41.69,54,False
2026-04-07T18:59:05,2,J2_2,rl,NS-Green,30.73,30.81,29.87,29.27,28.42,36.34,45,False
2026-04-07T18:59:05,2,J2_3,rl,NS-Green,17.43,28.18,27.32,26.92,25.89,52.24,65,True
2026-04-07T18:59:05,2,J3_0,rl,NS-Green,37.25,37.07,36.43,35.11,34.76,49.38,63,False
2026-04-07T18:59:05,2,J3_1,rl,NS-Green,38.3,38.11,37.45,36.29,35.58,49.16,62,False
2026-04-07T18:59:05,2,J3_2,rl,NS-Green,36.91,36.73,36.1,35.16,34.14,47.68,61,False
2026-04-07T18:59:05,2,J3_3,rl,NS-Green,15.36,24.65,24.23,23.72,22.82,46.25,59,True
2026-04-07T18:59:05,3,J0_0,rl,NS-Green,17.96,29.48,27.81,27.31,27.03,51.51,63,True
2026-04-07T18:59:05,3,J0_1,rl,NS-Green,18.23,29.91,28.22,27.86,27.31,52.32,65,True
2026-04-07T18:59:05,3,J0_2,rl,NS-Green,17.4,28.56,26.95,26.74,25.97,53.77,67,True
2026-04-07T18:59:05,3,J0_3,rl,NS-Green,16.81,27.59,26.03,25.96,24.97,49.23,61,True
2026-04-07T18:59:05,3,J1_0,rl,NS-Green,47.7,48.18,46.08,44.96,44.51,61.28,75,False
2026-04-07T18:59:05,3,J1_1,rl,NS-Green,43.16,43.59,41.69,40.89,40.1,56.53,71,False
2026-04-07T18:59:05,3,J1_2,rl,NS-Green,43.78,44.21,42.29,41.7,40.49,54.96,67,False
2026-04-07T18:59:05,3,J1_3,rl,NS-Green,17.15,27.94,26.72,26.48,25.47,48.55,60,True
2026-04-07T18:59:05,3,J2_0,rl,NS-Green,44.23,44.34,42.99,41.69,41.27,61.1,76,False
2026-04-07T18:59:05,3,J2_1,rl,NS-Green,39.41,39.51,38.3,37.34,36.61,51.61,64,False
2026-04-07T18:59:05,3,J2_2,rl,NS-Green,40.18,40.28,39.05,38.27,37.16,53.17,68,False
2026-04-07T18:59:05,3,J2_3,rl,NS-Green,17.6,28.45,27.58,27.17,26.13,50.98,61,True
2026-04-07T18:59:05,3,J3_0,rl,NS-Green,43.88,43.66,42.91,41.36,40.94,54.64,67,False
2026-04-07T18:59:05,3,J3_1,rl,NS-Green,43.76,43.54,42.8,41.46,40.65,51.98,63,False
2026-04-07T18:59:05,3,J3_2,rl,NS-Green,40.32,40.12,39.44,38.41,37.3,52.93,65,False
2026-04-07T18:59:05,3,J3_3,rl,NS-Green,17.03,27.34,26.87,26.31,25.3,52.21,64,True
2026-04-07T18:59:05,4,J0_0,rl,NS-Green,18.96,31.11,29.35,28.82,28.53,57.41,70,True
2026-04-07T18:59:05,4,J0_1,rl,NS-Green,19.64,32.22,30.4,30.01,29.42,57.82,71,True
2026-04-07T18:59:05,4,J0_2,rl,NS-Green,20.25,33.23,31.35,31.11,30.21,57.7,70,True
